ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-02 16:00:00,42.86174788127821,44.6668845400365,58.838736401862946,42.86174788127821,42.86174788127821,9.084789276081425,9.084789276081425,9.084789276081425,5.606366713272486,5.606366713272486,5.606366713272486,4.206713183958396,4.206713183958396,4.206713183958396,-0.7282906211494583,-0.7282906211494583,-0.7282906211494583,0.0,0.0,0.0,51.946537157359636
2018-01-03 16:00:00,42.89107912926993,44.92011805801669,58.4827874909306,42.89107912926993,42.89107912926993,8.969299510304374,8.969299510304374,8.969299510304374,5.606366712160738,5.606366712160738,5.606366712160738,4.19995806036588,4.19995806036588,4.19995806036588,-0.8370252622222434,-0.8370252622222434,-0.8370252622222434,0.0,0.0,0.0,51.86037863957431
2018-01-04 16:00:00,42.92041037726164,45.26669177395481,58.357572086415395,42.92041037726164,42.92041037726164,8.864347350486744,8.864347350486744,8.864347350486744,5.606366714164924,5.606366714164924,5.606366714164924,4.198317852650962,4.198317852650962,4.198317852650962,-0.9403372163291432,-0.9403372163291432,-0.9403372163291432,0.0,0.0,0.0,51.784757727748385
2018-01-05 16:00:00,42.94974162525335,45.33356240749249,58.361653273145166,42.94974162525335,42.94974162525335,8.834466621658558,8.834466621658558,8.834466621658558,5.606366713053175,5.606366713053175,5.606366713053175,4.263621787410364,4.263621787410364,4.263621787410364,-1.0355218788049814,-1.0355218788049814,-1.0355218788049814,0.0,0.0,0.0,51.78420824691191
2018-01-08 16:00:00,43.03773536922849,44.79010420805714,57.950492486606024,43.03773536922849,43.03773536922849,8.56048549256745,8.56048549256745,8.56048549256745,5.606366713919987,5.606366713919987,5.606366713919987,4.201546825064543,4.201546825064543,4.201546825064543,-1.2474280464170773,-1.2474280464170773,-1.2474280464170773,0.0,0.0,0.0,51.598220861795944
2018-01-09 16:00:00,43.0670666172202,45.09945794093537,58.69475091202418,43.0670666172202,43.0670666172202,8.526725872915502,8.526725872915502,8.526725872915502,5.606366712808238,5.606366712808238,5.606366712808238,4.206713183924819,4.206713183924819,4.206713183924819,-1.2863540238175546,-1.2863540238175546,-1.2863540238175546,0.0,0.0,0.0,51.5937924901357
2018-01-10 16:00:00,43.09639786521192,45.295087136030475,58.22936071952594,43.09639786521192,43.09639786521192,8.499729314026546,8.499729314026546,8.499729314026546,5.606366712782613,5.606366712782613,5.606366712782613,4.1999580603474485,4.1999580603474485,4.1999580603474485,-1.3065954591035136,-1.3065954591035136,-1.3065954591035136,0.0,0.0,0.0,51.596127179238465
2018-01-11 16:00:00,43.12572911320362,44.991518721405164,58.13519258941671,43.12572911320362,43.12572911320362,8.49768905725286,8.49768905725286,8.49768905725286,5.606366714786801,5.606366714786801,5.606366714786801,4.19831785270882,4.19831785270882,4.19831785270882,-1.306995510242761,-1.306995510242761,-1.306995510242761,0.0,0.0,0.0,51.623418170456475
2018-01-12 16:00:00,43.15506036119534,45.25461535079022,58.115608473397764,43.15506036119534,43.15506036119534,8.583184871694307,8.583184871694307,8.583184871694307,5.60636671367505,5.60636671367505,5.60636671367505,4.263621787398953,4.263621787398953,4.263621787398953,-1.286803629379697,-1.286803629379697,-1.286803629379697,0.0,0.0,0.0,51.738245232889646
2018-01-16 16:00:00,43.272385353162186,45.73137086114326,58.42523041840259,43.272385353162186,43.272385353162186,8.812877323011142,8.812877323011142,8.812877323011142,5.6063667123439895,5.6063667123439895,5.6063667123439895,4.206713183934227,4.206713183934227,4.206713183934227,-1.0002025732670778,-1.0002025732670778,-1.0002025732670778,0.0,0.0,0.0,52.08526267617333
